id,author,author-aux,author-orcid,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-type,number,pages,publisher,publtype,sub,sup,title,title-bibtex,tt,url,volume,year
0,Daniel Genkin|Daniel Gruss|Michael Schwarz 0001|Mike Hamburg|Moritz Lipp|Paul Kocher|Stefan Mangard|Thomas Prescher 0002|Werner Haas 0004|Yuval Yarom,,,,,,,,,,,https://spectreattack.com/spectre.pdf,oa,,meltdownattack.com,tr/meltdown/s18,2020-06-25,,,,,,,informal,,,Spectre Attacks: Exploiting Speculative Execution.,,,,,2018.0
1,Daniel Genkin|Daniel Gruss|Michael Schwarz 0001|Mike Hamburg|Moritz Lipp|Paul Kocher|Stefan Mangard|Thomas Prescher 0002|Werner Haas 0004|Yuval Yarom,,,,,,,,,,,https://meltdownattack.com/meltdown.pdf,oa,,meltdownattack.com,tr/meltdown/m18,2020-06-25,,,,,,,informal,,,Meltdown,,,,,2018.0
3,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0263-08-94-165,2019-10-25,August,,,,,,informal,,,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,,,db/journals/gtelab/index.html#TR-0263-08-94-165,TR-0263-08-94-165,1994.0
4,Michael L. Brodie|Michael Stonebraker,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0222-10-92-165,2019-10-25,March,"This report is also available as a Technical Memorandum of Electronics Research Laboratory, College of Engineering, University of California, Berkeley.",,,,,informal,,,DARWIN: On the Incremental Migration of Legacy Information Systems,,,db/journals/gtelab/index.html#TR-0222-10-92-165,TR-0222-10-92-165,1993.0
5,Farshad Nayeri|Joe D. Morrison|Mark F. Hornick,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0174-12-91-165,2019-10-25,December,,,,,,informal,,,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",,,db/journals/gtelab/index.html#TR-0174-12-91-165,TR-0174-12-91-165,1991.0
6,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TM-0149-06-89-165,2019-10-25,June,,,,,,informal,,,Object Model Capabilities For Distributed Object Management.,,,db/journals/gtelab/index.html#TM-0149-06-89-165,TM-0149-06-89-165,1989.0
7,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0310-11-95-165,2019-10-25,November,,,,,,informal,,,Integrating Object-Oriented Applications and Middleware with Relational Databases.,,,db/journals/gtelab/index.html#TR-0310-11-95-165,TR-0310-11-95-165,1995.0
8,Alejandro P. Buchmann|Dimitrios Georgakopoulos|M. Tamer Özsu,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0146-06-91-165,2019-10-25,June,,,,,,informal,,,Towards a Transaction Management System for DOM.,,,db/journals/gtelab/index.html#TR-0146-06-91-165,TR-0146-06-91-165,1991.0
9,Frank Manola|Sandra Heiler,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0231-08-93-165,2019-10-25,August,,,,,,informal,,,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,,,db/journals/gtelab/index.html#TR-0231-08-93-165,TR-0231-08-93-165,1993.0
10,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0244-12-93-165,2019-10-25,December,,,,,,informal,,,MetaObject Protocol Concepts for a RISC Object Model.,,,db/journals/gtelab/index.html#TR-0244-12-93-165,TR-0244-12-93-165,1993.0
11,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TR-0169-12-91-165,2019-10-25,December,,,,,,informal,,,Object Data Language Facilities for Multimedia Data Types.,,,db/journals/gtelab/index.html#TR-0169-12-91-165,TR-0169-12-91-165,1991.0
12,Alejandro P. Buchmann|Frank Manola|Mark F. Hornick,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TM-0332-11-90-165,2019-10-25,December,,,,,,informal,,,Object Data Model Facilities for Multimedia Data Types.,,,db/journals/gtelab/index.html#TM-0332-11-90-165,TM-0332-11-90-165,1990.0
13,Frank Manola,,,,,,,,,,,,,,GTE Laboratories Incorporated,tr/gte/TM-0014-06-88-165,2019-10-25,June,,,,,,informal,,,Distributed Object Management Technology.,,,db/journals/gtelab/index.html#TM-0014-06-88-165,TM-0014-06-88-165,1988.0
